game_id,home_team_id,away_team_id,tournament_id,game_date
0,0,2,0,2000-04-22
1,1,13,0,2000-11-22
2,2,11,0,2000-04-16
3,3,1,0,2000-01-24
4,4,7,0,2000-08-14
5,1,0,0,2000-12-09
6,5,16,0,2000-07-07
7,6,13,0,2000-08-07
8,7,14,0,2000-03-25
9,8,2,0,2000-06-19
10,9,16,0,2000-03-12
11,10,4,0,2000-01-22
12,8,11,0,2000-09-27
13,8,17,0,2000-04-21
14,10,16,0,2000-02-23
15,2,1,0,2000-10-03
16,11,16,0,2000-10-03
17,5,14,0,2000-04-06
18,8,0,0,2000-09-06
19,12,2,0,2000-03-19
20,13,9,0,2000-05-01
21,5,0,0,2000-12-29
22,11,12,0,2000-09-03
23,14,17,0,2000-04-09
24,14,13,0,2000-08-31
25,9,15,0,2000-12-09
26,7,11,0,2000-07-20
27,11,5,0,2000-06-21
28,0,14,0,2000-05-29
29,3,5,0,2000-11-06
30,4,12,0,2000-02-04
31,10,17,0,2000-12-06
32,1,11,0,2000-07-08
33,12,1,0,2000-10-10
34,15,2,0,2000-07-14
35,9,2,0,2000-10-31
36,13,12,0,2000-01-05
37,0,11,0,2000-12-10
38,16,8,0,2000-11-12
39,17,15,0,2000-06-09
40,17,1,0,2000-01-18
41,9,4,0,2000-12-22
42,7,12,0,2000-09-27
43,14,2,0,2000-05-30
44,14,4,0,2000-08-17
45,9,13,0,2000-02-01
46,3,16,0,2000-09-22
47,13,16,0,2000-01-23
48,4,1,0,2000-02-22
49,13,2,0,2000-06-22
50,6,0,0,2000-06-11
51,11,0,0,2000-04-18
52,10,11,0,2000-09-28
53,10,5,0,2000-09-09
54,12,9,0,2000-04-16
55,0,16,0,2000-09-25
56,6,4,0,2000-10-17
57,10,0,0,2000-11-18
58,13,17,0,2000-11-19
59,8,16,0,2000-08-02
60,8,10,0,2000-05-21
61,2,12,0,2000-12-09
62,14,0,0,2000-12-13
63,13,1,0,2000-05-22
64,17,2,0,2000-11-17
65,7,5,0,2000-12-03
66,0,12,0,2000-12-18
67,14,7,0,2000-06-09
68,16,5,0,2000-05-21
69,1,10,0,2000-10-25
70,15,6,0,2000-09-21
71,16,4,0,2000-04-16
72,15,17,0,2000-10-30
73,8,9,0,2000-07-21
74,3,9,0,2000-07-27
75,15,5,0,2000-11-09
76,16,15,0,2000-07-25
77,15,4,0,2000-10-22
78,0,15,0,2000-05-30
79,3,10,0,2000-06-02
80,7,13,0,2000-08-10
81,12,13,0,2000-12-16
82,11,3,0,2000-10-11
83,17,7,0,2000-10-13
84,2,17,0,2000-02-25
85,2,6,0,2000-11-22
86,1,5,0,2000-04-26
87,16,6,0,2000-04-29
88,14,9,0,2000-01-01
89,13,4,0,2000-06-13
90,4,13,0,2000-08-04
91,3,15,0,2000-10-23
92,12,8,0,2000-04-02
93,3,6,0,2000-07-03
94,3,7,0,2000-08-25
95,15,8,0,2000-12-21
96,15,12,0,2000-07-22
97,15,3,0,2000-06-06
98,3,17,0,2000-06-04
99,3,11,0,2000-01-03
100,6,10,0,2000-09-04
101,16,13,0,2000-07-11
102,10,7,0,2000-10-07
103,12,0,0,2000-07-29
104,15,14,0,2000-03-13
105,13,6,0,2000-04-17
106,3,8,0,2000-05-05
107,6,8,0,2000-05-01
108,8,6,0,2000-04-12
109,1,6,0,2000-05-11
110,1,4,0,2000-06-19
111,4,14,0,2000-12-02
112,12,16,0,2000-10-29
113,6,3,0,2000-07-11
114,11,17,0,2000-12-31
115,9,6,0,2000-03-28
116,16,7,0,2000-05-05
117,7,1,0,2000-01-13
118,11,6,0,2000-04-19
119,6,12,0,2000-01-04
120,12,17,0,2000-07-03
121,15,13,0,2000-09-03
122,10,2,0,2000-12-24
123,5,9,0,2000-04-23
124,2,7,0,2000-04-09
125,6,9,0,2000-10-02
126,13,8,0,2000-11-03
127,15,10,0,2000-02-13
128,0,17,0,2000-06-30
129,4,3,0,2000-04-15
130,5,2,0,2000-09-21
131,14,15,0,2000-06-24
132,11,8,0,2000-05-08
133,5,13,0,2000-04-13
134,7,15,0,2000-05-09
135,12,14,0,2000-06-27
136,2,8,0,2000-10-23
137,8,15,0,2000-12-05
138,16,1,0,2000-03-02
139,12,5,0,2000-09-06
140,11,9,0,2000-07-04
141,16,0,0,2000-07-30
142,12,4,0,2000-09-14
143,11,2,0,2000-12-19
144,15,0,0,2000-11-16
145,7,10,0,2000-02-09
146,17,3,0,2000-05-12
147,1,3,0,2000-10-29
148,14,3,0,2000-09-20
149,11,7,0,2000-03-27
150,11,1,0,2000-06-25
151,3,13,0,2000-09-23
152,13,10,0,2000-04-10
153,10,15,0,2000-10-08
154,17,0,0,2000-05-10
155,1,17,0,2000-08-01
156,1,9,0,2000-04-19
157,10,9,0,2000-06-28
158,2,15,0,2000-05-15
159,15,1,0,2000-08-23
160,7,4,0,2000-01-11
161,7,17,0,2000-08-31
162,15,16,0,2000-11-20
163,9,10,0,2000-07-23
164,8,12,0,2000-03-09
165,12,10,0,2000-01-28
166,5,1,0,2000-11-10
167,11,15,0,2000-01-02
168,17,5,0,2000-05-24
169,9,11,0,2000-04-20
170,4,8,0,2000-01-08
171,5,11,0,2000-05-18
172,14,5,0,2000-05-02
173,9,0,0,2000-11-27
174,11,14,0,2000-12-16
175,10,3,0,2000-02-27
176,14,10,0,2000-11-29
177,10,14,0,2000-08-20
178,0,10,0,2000-06-18
179,0,5,0,2000-12-17
180,5,6,0,2000-12-21
181,6,16,0,2000-01-10
182,16,12,0,2000-06-23
183,17,14,0,2000-12-21
184,16,10,0,2000-04-14
185,12,7,0,2000-08-03
186,10,1,0,2000-10-06
187,6,2,0,2000-02-04
188,4,9,0,2000-11-09
189,0,3,0,2000-05-02
190,8,3,0,2000-05-28
191,0,7,0,2000-12-14
192,4,0,0,2000-08-21
193,16,11,0,2000-09-05
194,14,12,0,2000-05-24
195,9,3,0,2000-08-15
196,4,11,0,2000-05-26
197,5,8,0,2000-07-17
198,0,1,0,2000-08-22
199,13,11,0,2000-06-15
200,5,7,0,2000-10-24
201,2,14,0,2000-02-09
202,4,17,0,2000-09-02
203,8,1,0,2000-12-03
204,3,2,0,2000-06-05
205,17,12,0,2000-01-26
206,4,6,0,2000-01-03
207,9,8,0,2000-10-05
208,2,4,0,2000-11-18
209,13,3,0,2000-10-18
210,1,15,0,2000-07-11
211,15,9,0,2000-07-24
